direction_destinations
"Waltham Center"
"Dedham Mall"
"Dudley"
"Walpole"
"Beachmont"
"Ashmont"
"Charles River Loop"
"Alewife"
"Boston Medical Center"
"Wakefield Avenue & Truman Parkway"
"East Weymouth"
"Wachusett"
"Kingston or Plymouth"
"Mattapan"
"Central Square, Lynn or Neptune Towers"
"Tide Street"
"Arlington Center"
"Charlestown"
"North Woburn"
"JFK/UMass Station"
"Bowdoin"
"Quincy Center"
"Downtown Boston"
"Forge Park/495"
"Kane Square"
"Needham Heights"
"Roberts"
"Weymouth Landing or Columbian Square"
"Salem Depot"
"Avon Square"
"Oak Grove"
"Waltham"
"McCormack Housing"
"Oaklandvale"
"Houghs Neck"
"Wood Island"
"Sullivan"
"Kenmore"
"Copley"
"Jack Satter House, Revere"
"Beth Israel Deaconess or Boston Medical Center"
"Broadway Station"
"Central Square, Lynn"
"Eastern Avenue & Essex Street"
"Franklin Park"
"Andrew or UMass"
"Hingham"
"Burlington"
"Fields Corner"
"Waltham Highlands"
"Squantum"
"Jersey Street & Queensberry Street"
"Woodland Road, Stoneham"
"Kendall/MIT"
"Hingham or Hull"
"Boston College"
"Watertown Square"
"Forest Hills"
"Maverick"
"Spring Hill"
"Haverhill"
"Watertown Yard"
"Cleveland Circle"
"Harvard"
"Hingham Depot"
"Needham Junction"
"Shattuck Hospital"
"Bass Point, Nahant"
"South Station or Foxboro"
"Wolcott Square"
"Downtown Crossing"
"Everett, Revere, or Chelsea"
"North Quincy"
"Cleary Square"
"Long Wharf"
"Marblehead"
"Melrose Highlands"
"Danvers Square"
"Davis"
"Assembly"
"Logan Airport"
"Belmont Center"
"Gallivan Boulevard"
"Wren Street"
"Reservoir"
"Rindge Avenue"
"Foxboro or TF Green Airport"
"Wonderland"
"Arlington Heights"
"Harbor Point/UMass"
"Oak Park/Bedford Woods"
"Orient Heights"
"North Waltham"
"North Beverly"
"Ashmont/Braintree"
"University Park or Kendall/MIT"
"Riverside"
"Elm Street"
"North Burlington"
"Fort Point"
"Chestnut Hill"
"Oak Square"
"Arlmont Village"
"River Street & Milton Street, Dedham"
"West Medford"
"Back Bay Station"
"Medford Square"
"Haymarket"
"Germantown"
"Brighton"
"Huron Avenue"
"Kenmore or Ruggles"
"Greenbush"
"Roslindale Square"
"Wellington"
"South Station"
"Ruggles"
"Chelsea"
"Heath Street"
"Saugus Center"
"Dedham Line"
"Clarendon Hill or Arlington Center"
"Worcester"
"Jackson Square"
"Waverley Square"
"Turkey Hill"
"Pemberton Point, Hull"
"South Shore Plaza"
"Clarendon Hill"
"Liberty Tree Mall"
"Medford Square, Meadow Glen Mall, or Wellington"
"Clarendon Hill or Davis"
"Bedford VA Hospital"
"Lowell"
"Northgate Shopping Center"
"Redstone Shopping Center"
"Andrew"
"Georgetowne"
"Point Shirley, Winthrop"
"North Station"
"Lechmere"
"Montello Commuter Rail Station"
"Cedarwood"
"Linden Square"
"Wickford Junction"
"Centre Street & Eliot Street"
"Baker Street & Vermont Street"
"Newburyport or Rockport"
"Lincoln Lab/Hanscom Air Force Base"
"Design Center"
"North Medford"
"Main Street, Peabody"
"Holbrook/Randolph Commuter Rail Station"
"Government Center"
"Fairmount"
"Park Street"
"Reading Depot"
"Fields Corner Loop"
"Middleborough/Lakeville"
"Haymarket or Wonderland"
"Cobbs Corner"
"Malden Center"
"City Point"
"Mattapan or Ashmont"
"Central Square, Cambridge"
"Lebanon Street, Malden"
