id,label,bearing,current_stop_sequence,direction_id,longitude,latitude,speed,updated_at,current_status,route_id,stop_id
"y1731","1731","90.0","34","1","-71.1039505005","42.349609375","None","2019-08-15T22:27:53-04:00","IN_TRANSIT_TO","57","939"
"y0635","0635","0.0","None","1","-71.0735244751","42.3889770508","None","2019-08-15T22:25:07-04:00","IN_TRANSIT_TO","350",""
"y1674","1674","0.0","4","1","-71.1154937744","42.3087081909","None","2019-08-15T22:27:43-04:00","IN_TRANSIT_TO","39","1128"
"y0698","0698","0.0","2","0","-71.0582962036","42.365146637","None","2019-08-15T22:27:56-04:00","IN_TRANSIT_TO","111","2832"
"y1417","1417","340.0","2","0","-71.0579528809","42.3641738892","None","2019-08-15T22:27:56-04:00","IN_TRANSIT_TO","93","2832"
"y1903","1903","301.0","25","1","-71.0796203613","42.3321647644","None","2019-08-15T22:27:54-04:00","IN_TRANSIT_TO","1","10101"
"y1661","1661","90.0","1","0","-71.0919113159","42.2671508789","None","2019-08-15T22:27:11-04:00","IN_TRANSIT_TO","32","18511"
"y0611","0611","151.0","26","1","-71.0890808105","42.3771858215","None","2019-08-15T22:27:56-04:00","IN_TRANSIT_TO","88","2600"
"y1645","1645","0.0","None","1","-71.1099624634","42.3027458191","None","2019-08-15T22:26:31-04:00","IN_TRANSIT_TO","34",""
"y1740","1740","0.0","13","0","-71.082901001","42.3166389465","None","2019-08-15T22:27:53-04:00","IN_TRANSIT_TO","23","407"
"y1851","1851","0.0","39","0","-71.2368621826","42.3715667725","None","2019-08-15T22:27:54-04:00","IN_TRANSIT_TO","553","76597"
"y1440","1440","0.0","22","1","-71.1186599731","42.3606452942","None","2019-08-15T22:27:53-04:00","IN_TRANSIT_TO","64","1116"
"1632","1632","47.0","1","1","-71.8476409912","42.5538482666","None","2019-08-15T22:27:26-04:00","STOPPED_AT","CR-Fitchburg","Wachusett"
"y1747","1747","225.0","1","1","-71.076713562","42.3493690491","None","2019-08-15T22:27:13-04:00","IN_TRANSIT_TO","10","178"
"y1879","1879","270.0","12","1","-71.0451126099","42.3354797363","None","2019-08-15T22:27:55-04:00","IN_TRANSIT_TO","9","158"
"G-10063","3661-3856","60.0","580","1","-71.0774765015","42.3499717712","None","2019-08-15T22:27:22-04:00","INCOMING_AT","Green-B","70156"
"y0614","0614","112.0","24","1","-71.2225494385","42.4459877014","None","2019-08-15T22:27:56-04:00","IN_TRANSIT_TO","76","8637"
"y1112","1112","59.0","5","0","-71.0248641968","42.3680839539","None","2019-08-15T22:27:53-04:00","IN_TRANSIT_TO","743","7096"
"y1918","1918","0.0","20","1","-71.0353775024","42.4047889709","None","2019-08-15T22:27:45-04:00","IN_TRANSIT_TO","111","5595"
"y0853","0853","308.0","2","0","-70.9963378906","42.4003257751","None","2019-08-15T22:27:54-04:00","IN_TRANSIT_TO","119","15808"
"y1687","1687","0.0","None","1","-71.1099700928","42.302986145","None","2019-08-15T22:25:38-04:00","IN_TRANSIT_TO","51",""
"y0750","0750","224.0","17","1","-71.0277328491","42.3963813782","None","2019-08-15T22:27:56-04:00","IN_TRANSIT_TO","117","5724"
"y0616","0616","90.0","1","0","-71.0757751465","42.4024620056","None","2019-08-15T22:27:13-04:00","IN_TRANSIT_TO","106","5271"
"y1804","1804","222.0","22","1","-71.074256897","42.3356666565","None","2019-08-15T22:27:56-04:00","IN_TRANSIT_TO","8","1790"
"y1880","1880","135.0","5","0","-71.0862808228","42.3296318054","None","2019-08-15T22:27:50-04:00","IN_TRANSIT_TO","15","11259"
"y1877","1877","0.0","19","0","-71.156829834","42.3491363525","None","2019-08-15T22:27:46-04:00","IN_TRANSIT_TO","57","974"
"y1274","1274","225.0","6","0","-71.0669784546","42.3427200317","None","2019-08-15T22:27:57-04:00","IN_TRANSIT_TO","749","5100"
"y0709","0709","326.0","22","0","-71.1254425049","42.400138855","None","2019-08-15T22:27:53-04:00","IN_TRANSIT_TO","88","2631"
"1714","1714","120.0","2","1","-71.4319076538","42.0886611938","14.0","2019-08-15T22:27:40-04:00","IN_TRANSIT_TO","CR-Franklin","Franklin"
"G-10089","3263","90.0","5","1","-71.0676574707","42.2703018188","None","2019-08-15T22:27:51-04:00","STOPPED_AT","Mattapan","70268"
"y1639","1639","207.0","6","0","-71.0996170044","42.3231925964","None","2019-08-15T22:27:54-04:00","IN_TRANSIT_TO","29","11531"
"G-10145","3811-3840","240.0","120","0","-71.0779190063","42.3499603271","None","2019-08-15T22:27:22-04:00","INCOMING_AT","Green-B","70153"
"y1768","1768","179.0","None","1","-71.057144165","42.3392868042","None","2019-08-15T22:27:54-04:00","IN_TRANSIT_TO","45",""
"1707","1707","206.0","1","0","-71.0558929443","42.3509216309","None","2019-08-15T22:27:04-04:00","STOPPED_AT","CR-Worcester","South Station-01"
"y1459","1459","113.0","None","0","-71.0827407837","42.3873405457","None","2019-08-15T22:27:54-04:00","IN_TRANSIT_TO","79",""
"y1760","1760","281.0","1","1","-71.1015625","42.3481750488","None","2019-08-15T22:27:55-04:00","IN_TRANSIT_TO","66","22549"
"y1864","1864","73.0","9","1","-71.0774917603","42.3500099182","None","2019-08-15T22:27:53-04:00","IN_TRANSIT_TO","55","175"
"1507","1507","19.0","10","1","-71.1257324219","42.2544403076","None","2019-08-15T22:27:15-04:00","STOPPED_AT","CR-Providence","Hyde Park"
"y0809","0809","0.0","None","0","-71.0097045898","42.2602653503","None","2019-08-15T22:25:45-04:00","IN_TRANSIT_TO","215",""
"R-545F3775","1836","170.0","120","0","-71.0522613525","42.3205184937","None","2019-08-15T22:24:44-04:00","STOPPED_AT","Red","70095"
"y0748","0748","0.0","27","0","-71.0085754395","42.415813446","None","2019-08-15T22:27:47-04:00","IN_TRANSIT_TO","116","5768"
"1506","1506","107.0","15","1","-71.0643081665","42.3466682434","10.0","2019-08-15T22:27:36-04:00","IN_TRANSIT_TO","CR-Worcester","South Station"
"G-10160","3662-3834","75.0","310","0","-71.1674194336","42.3409996033","None","2019-08-15T22:23:57-04:00","STOPPED_AT","Green-B","70107"
"y1744","1744","37.0","24","0","-71.1052856445","42.3407974243","None","2019-08-15T22:27:55-04:00","IN_TRANSIT_TO","47","1805"
"y1432","1432","298.0","25","0","-71.164100647","42.4176177979","None","2019-08-15T22:27:54-04:00","IN_TRANSIT_TO","77","2286"
"y1812","1812","270.0","39","0","-71.0310134888","42.3382225037","None","2019-08-15T22:27:56-04:00","IN_TRANSIT_TO","10","33"
"y1257","1257","325.0","2","0","-71.0933761597","42.2674560547","None","2019-08-15T22:27:55-04:00","IN_TRANSIT_TO","28","1722"
"y1413","1413","131.0","40","1","-71.0820922852","42.3870658875","None","2019-08-15T22:27:55-04:00","IN_TRANSIT_TO","101","2712"
"y1421","1421","90.0","43","1","-71.1430435181","42.3619804382","None","2019-08-15T22:27:57-04:00","IN_TRANSIT_TO","70","1044"
"y1860","1860","198.0","12","0","-71.0848083496","42.3224983215","None","2019-08-15T22:27:56-04:00","IN_TRANSIT_TO","44","1341"
"y1446","1446","220.0","14","1","-71.0678634644","42.4253501892","None","2019-08-15T22:27:54-04:00","IN_TRANSIT_TO","106","15431"
"ysaucon165","saucon165","233.0","None","None","-71.0308227539","42.2772140503","None","2019-08-15T22:22:49-04:00","IN_TRANSIT_TO","Shuttle005",""
"y0758","0758","331.0","1","1","-71.0064620972","42.2527809143","None","2019-08-15T22:27:55-04:00","IN_TRANSIT_TO","225","32001"
"y0733","0733","0.0","12","0","-71.1356277466","42.4008102417","None","2019-08-15T22:27:56-04:00","IN_TRANSIT_TO","77","2274"
"y0848","0848","257.0","3","1","-70.9019470215","42.5205078125","None","2019-08-15T22:27:54-04:00","IN_TRANSIT_TO","450","4455"
"R-545F37D5","1879","0.0","200","1","-71.1189422607","42.3883285522","None","2019-08-15T22:27:36-04:00","STOPPED_AT","Red","70066"
"y1254","1254","270.0","6","0","-71.0837936401","42.3295288086","None","2019-08-15T22:27:41-04:00","IN_TRANSIT_TO","28","64000"
"y0805","0805","0.0","None","0","-71.0093841553","42.2597808838","None","2019-08-15T22:27:11-04:00","IN_TRANSIT_TO","245",""
"y1634","1634","133.0","11","0","-71.0875091553","42.2818717957","None","2019-08-15T22:27:56-04:00","IN_TRANSIT_TO","21","528"
"y0609","0609","116.0","None","0","-71.0734481812","42.3874549866","None","2019-08-15T22:27:56-04:00","IN_TRANSIT_TO","86",""
"y0852","0852","270.0","3","1","-70.9963912964","42.4186096191","None","2019-08-15T22:27:56-04:00","IN_TRANSIT_TO","116","5701"
"G-10118","3881-3692","225.0","360","0","-71.1188812256","42.3427886963","None","2019-08-15T22:27:20-04:00","INCOMING_AT","Green-C","70219"
"G-10012","3609-3867","135.0","340","1","-71.2227706909","42.3218803406","None","2019-08-15T22:27:55-04:00","INCOMING_AT","Green-D","70166"
"1627","1627","47.0","13","0","-71.10105896","42.7583312988","11.0","2019-08-15T22:27:14-04:00","IN_TRANSIT_TO","CR-Haverhill","Bradford"
"y0773","0773","144.0","59","0","-70.9339447021","42.5634918213","None","2019-08-15T22:27:54-04:00","IN_TRANSIT_TO","435","4651"
"y0768","0768","0.0","30","1","-71.0411605835","42.2583389282","None","2019-08-15T22:27:55-04:00","IN_TRANSIT_TO","215","3360"
"y1922","1922","205.0","1","1","-71.0736999512","42.3870010376","None","2019-08-15T22:27:50-04:00","IN_TRANSIT_TO","96","45002"
"y4127","4127","0.0","1","0","-71.1292800903","42.3975944519","None","2019-08-15T22:27:26-04:00","IN_TRANSIT_TO","71","2020"
"G-10279","3705-3865","225.0","400","0","-71.1349029541","42.3395195007","None","2019-08-15T22:27:50-04:00","STOPPED_AT","Green-C","70229"
"G-10035","3624-3835","45.0","40","1","-71.1504211426","42.3409385681","None","2019-08-15T22:27:59-04:00","INCOMING_AT","Green-B","70116"
"y1624","1624","37.0","47","1","-71.117149353","42.2967796326","None","2019-08-15T22:27:54-04:00","IN_TRANSIT_TO","51","642"
"y0903","0903","0.0","None","1","-71.009513855","42.2596931458","None","2019-08-15T22:25:34-04:00","IN_TRANSIT_TO","236",""
"y1775","1775","126.0","18","1","-71.1239776611","42.3437805176","None","2019-08-15T22:27:53-04:00","IN_TRANSIT_TO","66","1306"
"y1796","1796","335.0","3","1","-71.0650405884","42.28748703","None","2019-08-15T22:27:55-04:00","IN_TRANSIT_TO","23","369"
"R-545F380D","1701","315.0","40","1","-71.0273666382","42.2731513977","None","2019-08-15T22:27:41-04:00","INCOMING_AT","Red","70098"
"y1106","1106","135.0","None","0","-71.0414047241","42.3477706909","None","2019-08-15T22:27:50-04:00","IN_TRANSIT_TO","743",""
"y0814","0814","0.0","1","0","-71.0056991577","42.2543487549","None","2019-08-15T22:27:53-04:00","IN_TRANSIT_TO","220","32004"
"R-545F2BB1","1519","310.0","160","1","-71.0654830933","42.3579216003","None","2019-08-15T22:27:09-04:00","INCOMING_AT","Red","70074"
"y1407","1407","0.0","1","1","-71.1209564209","42.3731231689","None","2019-08-15T22:27:54-04:00","IN_TRANSIT_TO","77","20762"
"y1811","1811","90.0","None","1","-71.0577392578","42.341709137","None","2019-08-15T22:27:54-04:00","IN_TRANSIT_TO","10",""
"y1739","1739","270.0","1","0","-71.0623168945","42.2997398376","None","2019-08-15T22:27:42-04:00","IN_TRANSIT_TO","15","323"
"y1820","1820","352.0","None","1","-71.0635452271","42.3404502869","None","2019-08-15T22:27:53-04:00","IN_TRANSIT_TO","57",""
"y1850","1850","195.0","None","0","-71.0554656982","42.3420791626","None","2019-08-15T22:27:55-04:00","IN_TRANSIT_TO","9",""
"y0891","0891","55.0","2","0","-71.0183258057","42.4285125732","None","2019-08-15T22:27:55-04:00","IN_TRANSIT_TO","426","7415"
"R-545F3AEA","1650","150.0","50","1","-71.0629882812","42.2832298279","None","2019-08-15T22:27:45-04:00","IN_TRANSIT_TO","Red","70094"
"y0730","0730","180.0","22","1","-71.1190490723","42.375453949","None","2019-08-15T22:27:19-04:00","IN_TRANSIT_TO","86","22549"
"y4104","4104","0.0","17","0","-71.1761627197","42.3684921265","None","2019-08-15T22:27:51-04:00","IN_TRANSIT_TO","71","2042"
"y1920","1920","315.0","22","0","-71.1166687012","42.3941001892","None","2019-08-15T22:27:58-04:00","IN_TRANSIT_TO","89","2673"
"1641","1641","1.0","2","0","-71.0766906738","42.3892402649","14.0","2019-08-15T22:27:12-04:00","IN_TRANSIT_TO","CR-Newburyport","Chelsea"
"y1621","1621","0.0","None","1","-71.1101150513","42.3029060364","None","2019-08-15T22:25:12-04:00","IN_TRANSIT_TO","35",""
"B-545F3A9D","0731","30.0","90","1","-70.9925384521","42.3972015381","None","2019-08-15T22:27:15-04:00","STOPPED_AT","Blue","70056"
"y0757","0757","180.0","None","1","-71.0090179443","42.2595062256","None","2019-08-15T22:27:53-04:00","IN_TRANSIT_TO","222",""
"y1609","1609","14.0","11","1","-71.090423584","42.287071228","None","2019-08-15T22:27:56-04:00","IN_TRANSIT_TO","29","1733"
"y0738","0738","230.0","21","1","-70.987991333","42.461227417","None","2019-08-15T22:27:55-04:00","IN_TRANSIT_TO","426","7385"
"G-10284","3687-3802","225.0","660","0","-71.1117935181","42.3321800232","None","2019-08-15T22:27:32-04:00","INCOMING_AT","Green-E","70255"
"y0873","0873","225.0","39","0","-70.9754638672","42.4543647766","None","2019-08-15T22:27:34-04:00","IN_TRANSIT_TO","426","7452"
"1701","1701","10.0","11","0","-71.2375488281","42.28125","None","2019-08-15T22:27:37-04:00","STOPPED_AT","CR-Needham","Needham Center"
"y1266","1266","0.0","None","1","-71.0657272339","42.3316802979","None","2019-08-15T22:26:43-04:00","IN_TRANSIT_TO","39",""
"y0680","0680","90.0","1","0","-71.1223373413","42.3731231689","None","2019-08-15T22:27:05-04:00","IN_TRANSIT_TO","78","20762"
"y0755","0755","0.0","None","0","-71.0097503662","42.2605895996","None","2019-08-15T22:25:27-04:00","IN_TRANSIT_TO","245",""
"y1791","1791","267.0","14","1","-71.1320648193","42.3525848389","None","2019-08-15T22:27:54-04:00","IN_TRANSIT_TO","66","928"
"y4110","4110","114.0","1","1","-71.121887207","42.3729476929","None","2019-08-15T22:27:55-04:00","IN_TRANSIT_TO","73","2020"
"ysaucon168","saucon168","294.0","None","None","-71.0441894531","42.3388557434","None","2019-08-15T22:00:34-04:00","IN_TRANSIT_TO","Shuttle005",""
"y0849","0849","135.0","45","1","-70.9481658936","42.4648933411","None","2019-08-15T22:26:48-04:00","IN_TRANSIT_TO","435","94324"
"y1131","1131","270.0","8","1","-71.0425567627","42.3480224609","None","2019-08-15T22:26:06-04:00","IN_TRANSIT_TO","741","74615"
"y0714","0714","335.0","26","0","-71.1211624146","42.3715248108","None","2019-08-15T22:27:54-04:00","IN_TRANSIT_TO","86","2565"
"y0628","0628","135.0","None","0","-71.0756912231","42.3849754333","None","2019-08-15T22:27:58-04:00","IN_TRANSIT_TO","94",""
"G-10036","3862-3707","210.0","90","0","-71.0633392334","42.3555908203","None","2019-08-15T22:27:42-04:00","INCOMING_AT","Green-E","70159"
"ysaucon161","saucon161","148.0","None","None","-71.0048065186","42.2531661987","None","2019-08-15T22:27:46-04:00","IN_TRANSIT_TO","Shuttle005",""
"y0716","0716","0.0","1","0","-71.0761032104","42.4025192261","None","2019-08-15T22:27:25-04:00","IN_TRANSIT_TO","99","5271"
"y1826","1826","126.0","16","0","-71.0884246826","42.3348503113","None","2019-08-15T22:27:56-04:00","IN_TRANSIT_TO","8","1226"
"y1754","1754","0.0","None","0","-71.0582809448","42.3403816223","None","2019-08-15T22:25:53-04:00","IN_TRANSIT_TO","57",""
"y0828","0828","0.0","None","1","-71.0094223022","42.2596130371","None","2019-08-15T22:26:36-04:00","IN_TRANSIT_TO","240",""
"y1890","1890","0.0","None","1","-71.0583953857","42.3397598267","None","2019-08-15T22:27:51-04:00","IN_TRANSIT_TO","47",""
"y0627","0627","253.0","15","1","-71.2069549561","42.4863014221","None","2019-08-15T22:27:54-04:00","IN_TRANSIT_TO","350","18241"
"y1409","1409","163.0","5","1","-71.1267166138","42.402179718","None","2019-08-15T22:27:54-04:00","IN_TRANSIT_TO","87","2578"
"y1779","1779","0.0","22","0","-71.1319198608","42.3527297974","None","2019-08-15T22:27:33-04:00","IN_TRANSIT_TO","66","1379"
"ysaucon166","saucon166","315.0","None","None","-71.0449905396","42.338596344","None","2019-08-15T22:00:05-04:00","IN_TRANSIT_TO","Shuttle005",""
"y0786","0786","0.0","None","1","-71.0089187622","42.260017395","None","2019-08-15T22:27:39-04:00","IN_TRANSIT_TO","238",""
"G-10040","3607-3806","60.0","550","1","-71.1061096191","42.3463096619","None","2019-08-15T22:27:37-04:00","IN_TRANSIT_TO","Green-C","70150"
"y1445","1445","212.0","17","1","-71.0495452881","42.4135856628","None","2019-08-15T22:27:56-04:00","IN_TRANSIT_TO","109","5489"
"y0858","0858","225.0","None","0","-71.0049285889","42.3870124817","None","2019-08-15T22:27:57-04:00","IN_TRANSIT_TO","117",""
"y3005","y3005","97.0","3","0","-70.9916229248","42.3824234009","None","2019-08-15T22:27:55-04:00","STOPPED_AT","712","109804"
"1824","1824","218.0","1","1","-70.6273498535","42.6551399231","None","2019-08-15T22:27:28-04:00","STOPPED_AT","CR-Newburyport","Rockport"
"y1875","1875","129.0","28","0","-71.0664138794","42.2887039185","None","2019-08-15T22:27:54-04:00","IN_TRANSIT_TO","23","428"
"y1425","1425","0.0","11","0","-71.1527862549","42.4154548645","None","2019-08-15T22:27:47-04:00","IN_TRANSIT_TO","350","1656"
"y1870","1870","11.0","16","1","-71.0829086304","42.3117141724","None","2019-08-15T22:27:55-04:00","IN_TRANSIT_TO","23","387"
"y1102","1102","205.0","5","1","-71.0259857178","42.3779602051","None","2019-08-15T22:27:53-04:00","IN_TRANSIT_TO","743","7097"
"y0704","0704","0.0","None","0","-71.07371521","42.3880195618","None","2019-08-15T22:23:47-04:00","IN_TRANSIT_TO","96",""
"y1672","1672","45.0","1","0","-71.1701431274","42.2504386902","None","2019-08-15T22:27:34-04:00","IN_TRANSIT_TO","34","70618"
"y1784","1784","315.0","22","0","-71.1318511963","42.3521499634","None","2019-08-15T22:27:55-04:00","IN_TRANSIT_TO","66","1379"
"y1833","1833","270.0","1","0","-71.1174926758","42.3730697632","None","2019-08-15T22:27:05-04:00","IN_TRANSIT_TO","1","110"
"y1788","1788","194.0","8","0","-71.0355072021","42.3385276794","None","2019-08-15T22:27:54-04:00","IN_TRANSIT_TO","7","885"
"O-545F37CC","1208","195.0","160","0","-71.0998764038","42.3231887817","None","2019-08-15T22:27:32-04:00","STOPPED_AT","Orange","70006"
"R-545F31C7","1611","10.0","1","1","-71.0017318726","42.2074890137","None","2019-08-15T22:17:44-04:00","STOPPED_AT","Red","Braintree-02"
"y1434","1434","122.0","28","1","-71.1218795776","42.3907089233","None","2019-08-15T22:27:54-04:00","IN_TRANSIT_TO","77","2300"
"y0717","0717","0.0","None","1","-71.0739974976","42.388217926","None","2019-08-15T22:27:38-04:00","IN_TRANSIT_TO","77",""
"y0904","0904","225.0","1","1","-71.061416626","42.2999992371","None","2019-08-15T22:27:29-04:00","IN_TRANSIT_TO","201","323"
"1649","1649","321.0","8","0","-71.3118362427","42.6315002441","10.0","2019-08-15T22:27:25-04:00","IN_TRANSIT_TO","CR-Lowell","Lowell"
"1630","1630","322.0","1","0","-71.062828064","42.3670883179","None","2019-08-15T22:27:34-04:00","STOPPED_AT","CR-Fitchburg","North Station"
